aackers
Aambeelden
Aardewerk
Achten
Aecker
Aeckers
Aeprockjes
Aerdewerck
afbeeltsel
affbeeldinge
Albertijn
Albertijnen
Almalack
almanach 
Almanachbortje
Almenach
Antrecker
appelboren
Appelbrader
armslagen
Asaker
asbeesem
Aschketel
Aspot
Aspottangketting
asschep
Asschop
Asschoppen
Atlas
Attlas
avegaers
Baackerdoekies
baackermat
Baar
Back
Backaecker
Backaker
Backakertje
Backen
Backer
Backetges
backje
bak
Balance
Baliemandt
Ballen
Balymandt
Banck
Bancken
Bancketge
Bancketje
Bancketschilderije
bancketschilderijtge
bancketschilderijtje 
banckettjes
Banckje
bancquet
bancquetge 
bancquetstuck
bancquettie
bancquettien
Bandekens
bandelier
Bandeliers
Bandt
banketbordekens 
banketjen
Bankrijcxdaelders
Bankschroeven
banquet
banquetgen
banquetschilderije
banquett
bardeken
Bataelje
batajlle
Batalie
batalieschilderij
batalitien
Batalje
Battalie
Becken
Beckentjens
becker
Beckien
Bedde
Beddecleet
Beddekleet
Bedden
beddepan
Beddesack
Beddesakken
Beddespree
Beddetien
beddetjen
bedje
Bedpan
Bedsak
Bedstede
Bedstee
Bedt
Bedtje
Bedtlaeckens
Bedtpan
bedtspree
beecker
Beeckers
Beeckertje
Beeld
beeldekens
Beelden
Beeldt
Beelt
Beeltenis
Beeltge
beeltgens
beeltie
beeltiens
Beeltje
Beeltjens
Beeltjes
Beeltsels
Beff
Beffen
Behanghsel
Behangsel
Beijtels
bekerties
Bekertjens
bel
Belblaeckers
Bell
Belletje
bellitjes
Beslag
Beslagh
Besoorsteen
bestevaertgen
bestevaertje
betielen
betielens
betieltiens
Betpan
Beugel
Beugels
Beugelstoel
Beugelstoelen
Beugeltjes
Beursgen
Beursje
Beurssje
bevermoff
Bierglaasen
Bierglaesjens
Bierkan
Bijbel
bijbeltje
blaasbalk
blackertie
Blaecker
Blaeckers
Blaesbalck
Blaker
blakerties
Blakertje
Blakertjes
Blickwerck
Blikwerk
Block
Bloembotjen
bloemetjens
bloemmantiens
bloemmantjen
bloempot
Bloempotge
bloempotgen
Bloempotgens
Bloempotje
Bloempotjens
bloempotschilderij
bloempotschilderijen
Bloempotschilderijtje
bloempotschilderijtjens
bloempottge
bloempottje
Bloemtuyn
Blok
Blokschaar
Blommanties
blommetjes
blompot
Blompoth
Blompotien
Blompotje
Blompotjens
blompotjes
blompottge
Boeck
Boeckjens
Boecxke
Boecxkens
Boeken
Boere kermisse
Boere kroegh
boere schuijr
Boerebanquet
boerebruylofftje
boerebruyloft
Boerecoken
boerecroegjes
Boeredans
Boeregesangh
Boeregeselschap
Boeregeselschapje
boeregeselschapjens
boerekaertspel
Boerekermis
Boerekeukentie
Boerekoocken
Boerekoockentje
boeremaltijd 
Boeren tapijt
boerencokentge
boerendans
boerengesangh
Boerengeselschapjens
Boerenhuijs
Boerenhuys
boerenschuurtge
Boereschotels
boereschuyr
boerevrijagie
Boerinetronie
boerinnetgen
boeselaars
boeselaersgoet
Boeteljens
Boeteljes
boeterschotel
bokael 
Bondeltje
Bondeltjens
Bont
Boommutsen
Boord
booren
boorijsers
boorschaven
Boort
Boortgen
Boortiens
boot
Bootje
Bordeken
Bordekens
Borden
bordtje 
Bordtjens
borduerwerck 
Boren
boretges
Borretge
borretgens 
Borretiens
Borritges
Borst
Borstel
Borsten
Borstflesjes
Borsthembtjens
Borstkannetje
Borstrock
Borstrocken
Borstrockjens
Borstrockjes
Borstroken
borstrokken
Bort
Borten
Bortge
Bortgen
Bortgens
Bortges
bortichis
Bortien
Bortiens
Borties
Bortje
bortjen
Bortjens
Bortjes
Borts
Boschkruijtmaeten
Bosgens
Bosjens
Bosschagieschilderij
Bot
boterpot
Boterpotje
Boterpotjens
Boterschael
boterscholtjes
Boterschotel
boterschotelen
Boterschotelgens
Boterschotels
Boterschoteltjens
Botterpot
Bouteljes
Bouten
Boutt
Bouwen
Bovenmutsje
Braatpan
Braedlepel
Braedtpan
Braedwerck
braemijsers
Braetpan
Braetpanne
Braetpannen
braetpannetje
Braetspit
Bragoenen
Branders
Brandijser
Brandijsers
Brandtemmers
Brandthout
Brandtsacken
Brantijser
Brantje
Brantjes
Brantsacken
Brantsakken
brantschilderijtje 
Brasaletten
Braselett
Brasetten
Brillen
Broeckknoopen
Broeijvat
Broek
Broeken
Brood
Broodemantgen
Broodtmantie
Broot
Brootbacken
Buegel
buegelstocken
Buffet
Buickkussens
Bundels
Bundeltjens
Bureau
Burrij
Bussjens
Caart
Caarten
Cabas
cabasfles
Cabinetje
Caert
Caertge
Caertiens
calemink
calleminke
Cameelskoppen
Camizool
Camizoolen
Canariekouw
Candelaers
Candelaertien
Canifas
Cannen
cannetjen
cantjes
