Aalmoezeniersweeskind vondeling
Aalmoezeniersweeskind Wilhelmina
Aalmoezeniersweeskind Willem
Aalmoezeniersweeskind Zusanna
Aalmoezeniersweeskind?
Aalmoezenierweeshuis
Aalmoezenierweeskind
Aalmoezenierweeskind Cornelia
Aaltie, dochter van
Aaltje, dochter van
aangetrouwde broeder
aangetrouwde suster
Ab. zoon van
Abaham, zoontje van
Abigael, dochter van
Abraham zoon van
Abraham, kind van
Abraham, zoon van
Abrahams zoon
Abram zoon van
Abram, zoon van
Adriaen zoon van
Adriaen, dochter van
Adriana, dochter van
Adriana, dochtertje van
Adrijaen, zoon wijlen
advt
Aef, zijn dochter
Aefje kind van
Aefje, dochter van
Aeghien dochter van
Ael zijn dochter
Ael, zijn dochter
Aeltie dochter van
Aeltie, dochter van
Aeltije dochter van
Aeltje dochter van
Aeltje, dochter van
aengehoude broeder
aenhoude zuster
Aernout zoon van
Aernout, zoon van
Aert, zoon van
Aetien, dochter van
Afije zijn dochter
Agatha dochter van
Agnes, dochter van
Albert zoontje van
Aletta dochter van
Alias
Alias / Gen.
Alias Bacx
Alias Bichion
Alias Brouwers
Alias Cornelis
Alias de Wael
Alias Doettor
Alias Drogemaijndert
Alias Elbert
Alias Fonteijn
Alias Fransen
Alias Grauwers
Alias Jan Jansz
Alias Kammen
Alias Koster
Alias Latou
Alias Ludrick
Alias Mantie
Alias Mel Jansz
Alias Mijnheer
Alias Paep Mug
Alias Pieters Pruijm
Alias Pietersz
Alias Potie
Alias Rootgen
Alias Schram
Alias Scrijvers
Alias van
Alias van Hollant
Alias van Spa
alias Vries
Alicia dochter van
Alida dochter van
Alida, dochter van
Alida, kind van
Alijda, dochter van
Allardus, zoon van
Almoezeniersweeskind
Alof, kind van
amtelijke geburen
Ander kind
Ander kind van
Anders gen. Mozes
Anders genaamd
Andreas, zoon van
Andries, kind van
Andris, kind van
Anna dochter van
Anna, dochter van
Anna, dochtertje van
Anna, zijn dochtertje
Anne dochter van
Annete dochter van
Annetgen, zijn vrouw
Annetie dochter van
Annetie, dochter van
Annetien dochter van
Annetien, dochtertje van
Annetij, dochter van
Annetije, dochter van
Annetje zijn dochter
Annette dochter van
Annitie, dochter van
Anselmus zoon van
Anthoni, zoontje van
Anthonie, zoon van
Anthonij, kind van
Anthonij, zoon van
Antie dochter van
Antonie, zoon van
Antonij, zoon van
Apelunie, dochter van
Arent zoon van
Arent, zoon van
Ariaen, zoon van
Armoesenierskind
Armoeserierskind
Armtijen zijn dochter
Arnoldus, zoon van
Arriaentie, dochter van
Arriaentje, dochter van
Arrie, zoon van
Augustijs, zoon van
baas
Baes
baes
Barbe, dochter van
Barber, dochter van
Barent, zoon van
Barnardes, zoon van
Baron van Berler
Bartholomeus zoon van
Bastiaentie, dochter van
behoud oom
behoud suster
behoude meue
behoude moeye
behoude oom
behoude zuster
behoudmeue
behoudoom
Behoudsuster
behoudsuster
behoudzuster
behout broedr
Behout grootmoeder
behout matur
behout moeder
behout moeje
behout Moeje
behout suster
Behout suster
Behout Suster
behoutgrootmoeder
behoutgrootvadr
behoutmeue
behoutmoeder
behoutoom
Behoutsuster
behoutsuster
behoutvader en voogd
Behuwd / Geb.
Behuwd kind
Behuwd kind van
Behuwd Suster
Behuwd zoontje van
Behuwde dochter
Behuwde dochter van
Behuwde zoon van
Behuwde zuster van
Behuwdmoeder
Behuwdoom
Behuwdvader
beijder goede bekende
Bejaarde dochter
Bejaarde dochter van
bek
bek.
bek:
beken.
Bekende
bekende
Berbera, dochter van
Bernardt zoon van
beroep is notaris
Bestemoeder
Bestevader
Bijgenaamd
Bijgenaamd Andries
Bijzit van
Brechge, zijn dochter
Brecht, zijn zuster
broeder & voogt
broeder en voogd
Broeder en voogd
broeder en vooght
broeder en voogt
Broeder van Jan
broeder vrouw
Broeders vrou
broeders vrou
Broeders Vrou
Broeders vrouw
broeders Vrouw
broeders vrouw
broeders vrouw (schoonzus)
broedr. en voogt
Broer
broer en voogd
Broer en voogd
broer en voogt
Broer van
broers vrou
broers vrouw
broersvrouw
broervrou
Bruid van
Bruijdegoms suster
Bruijts behout vader
bruijts broeder
Bruijts broeder
Bruijts moeder
bruijts moeder
bruijts stievmoeder
bruijts vader
bruijts vaeder
buijrman
Buren van
Burgemeester / Oud-burgemeester
Burger, zoon van
Capt gereforme
Capt.
Carel zoon van
Carel, zoontje van
Casparus, zoon van
Casper, zoon van
Catarina, dochter van
Cathalina, dochter van
Catharina dochter van
Catharina dochtertje van
Catharina zijn dochter
Catharina, dochter van
Catharina, dochtertje van
Catharina, kind van
Cathelina zijn dochter
Catherine dochter van
Cathrintie, dochter van
Catrijn dochter van
Catrijna, dochter van
Catrina, dochtertje van
Charles, zoon van
Christina, dochter van
Claas zoon van
Claas, zoon van
Claes zijn zoon
Clara dochtertje van
Clara, dochter van
commissaris dezer stad
comparant namens bruid
compeer
Conrelis, zoon van
Constantia, dochter van
Cornelia dochter van
Cornelia kind van
Cornelia, dochter van
Cornelija, dochter van
Cornelija, dochtertje van
Cornelis zoon van
Cornelis, kind van
Cornelis, vader van
Cornelis, zoon van
Cosijn / cousijn
cosijn en voocht
cousijn en vooght
Crijstian zoon van
Cristiaen, zoon van
Daniel, zoon van
David zoon van
David, kind van
David, zoon van
De dochter van
De huisvrouw van
De jonge dochter
De meid van
De vrouw van
De zoon van
Derick, zoon van
des voodes vrouw
Diac. weeskind
Diaconie weeskind
Dieuwer, dochter van
Dirck, kind van
Dirck, zoon van
Dirick, zoon van
Dit
Dit Boupaillard
Dit Castagnies
Dit de Caux
Dit de Restoult
Dit Dupon
Dit Innosant
Dit Laeroij
Dit Lagee
Dit Latour
Dit Margueron
Dit Montauban
Dit Petit Bois
Dit St. Bonnet
Dit Wicant
Dit wicar
Dit Wicart
dit Wicart
Dochte van
Dochter
Dochter Van
Dochter van
Dochter van Aart
Dochter van Ab
Dochter van Ab.
Dochter van Abel
Dochter van Abraham
Dochter van Abram
Dochter van Adriaan
Dochter van Adriaen
Dochter van Aerijaen
Dochter van Aerjan
Dochter van Aernout
Dochter van Albert
Dochter van Alewijn
Dochter van Alexandre
Dochter van Andr.
Dochter van Andries
Dochter van André
Dochter van Anthonij
Dochter van Arnout
Dochter van Arooger
Dochter van Augustijn
Dochter van Barend
Dochter van Barent
Dochter van Bartholomeus
Dochter van Bastiaen
Dochter van Benedictus
Dochter van Bruno
Dochter van Carel
Dochter van Casparus
Dochter van Casper
Dochter van Ch.
Dochter van Charles
Dochter van Christiaen
Dochter van Claas
Dochter van Claes
Dochter van Clement
Dochter van coenraat
Dochter van Corn.
Dochter van Cornelis
Dochter van cornelis
Dochter van Daniel
Dochter van David
Dochter van Dirck
Dochter van Dirk
Dochter van Ditmar
Dochter van Eduart
Dochter van Egbert
Dochter van eijffie
Dochter van Eijs
Dochter van Elbert
Dochter van Elias
Dochter van Emanuel
Dochter van Esaias
Dochter van Estienne
Dochter van Evert
Dochter van Ewout
Dochter van Fardenantis
Dochter van Francis
Dochter van Francois
Dochter van Frans
Dochter van François
Dochter van Frederick
Dochter van Frederik
Dochter van Gabriel
Dochter van Gerard
Dochter van Gerret
Dochter van Gerrit
Dochter van Gert
Dochter van Gijsbert
Dochter van Gorge
Dochter van Goverardus
Dochter van Gregorius
Dochter van Guiliam
Dochter van Guillaume
Dochter van Harman
Dochter van Harmanus
Dochter van Harme
Dochter van Harmen
Dochter van Heijnderick
Dochter van Hend.
Dochter van Hend:
Dochter van Henderick
Dochter van Henderik
Dochter van Hendk.
Dochter van Hendrick
Dochter van Hendrik
Dochter van Henr.
Dochter van Henrij
Dochter van Huijgh
Dochter van IJsbrant
Dochter van Isaac
Dochter van Jackob
Dochter van Jacob
Dochter van Jacobus
Dochter van Jacop
Dochter van Jacques
Dochter van Jan
Dochter van Jaques
Dochter van Jasper
Dochter van Jean
Dochter van Jelle
Dochter van Jeremias
Dochter van Jeronimus
Dochter van Jilles
Dochter van Joan
Dochter van Joannes
Dochter van Jochem
Dochter van Joh.
Dochter van Johan
Dochter van Johannes
Dochter van Jonannes
Dochter van Jonas
Dochter van Joost
Dochter van Joseph
Dochter van Josias
Dochter van Josua
Dochter van Juriaan
Dochter van Jurriaen
Dochter van Kaspar
Dochter van Klaas
Dochter van Lambert
Dochter van Liffert
Dochter van Lodewijk
Dochter van Louis
Dochter van Lubbert
Dochter van Lucas
Dochter van Lukas
Dochter van Machiel
Dochter van Markes
Dochter van Marten
Dochter van Mathíeuw
Dochter van Mattheus
Dochter van Matthijs
Dochter van Mattijs
Dochter van Meijndert
Dochter van Melis
Dochter van Michiel
Dochter van Mijndert
Dochter van Moses
Dochter van Nathan
Dochter van Nathaniel
Dochter van Nicolaas
Dochter van Nicolaes
Dochter van Nicolas
Dochter van Paulus
Dochter van Philip
Dochter van Pierre
Dochter van pieter
Dochter van Pieter
Dochter van Quintijn
Dochter van Reijnier
Dochter van René
Dochter van Rest
Dochter van Riewert
Dochter van Robbert
Dochter van Roelof
Dochter van Roeloff
Dochter van Rutgert
Dochter van Salomon
Dochter van Samuel
Dochter van Sander
Dochter van Siewert
Dochter van Simon
Dochter van Steven
Dochter van Stijntije
Dochter van Theophile
Dochter van Theunis
Dochter van Thomas
Dochter van Timotheus
Dochter van Tjaert
Dochter van Tobias
Dochter van Tomas
Dochter van Vincent
Dochter van wijlen
Dochter van willem
Dochter van Willem
Dochter van William
Dochter van Zacherias
Dochter van Zeeger
Dochter van Zeepzieder
Dochter van Zijbrant
Dochterje
Dochterje van
Dochters van
Dochtertje
Dochtertje van
Dochtertje Van
Dochtertje van Abraham
Dochtertje van Adriaen
Dochtertje van Anthonij
Dochtertje van Barnardus
Dochtertje van Corneles
Dochtertje van Cornelis
Dochtertje van Frans
Dochtertje van Gidlon
Dochtertje van Henderick
Dochtertje van Jacobus
Dochtertje van Jan
Dochtertje van Johannes
Dochtertje van Klaes
Dochtertje van Kornelis
Dochtertje van Mulder
Dochtertje van Nicolaes
Dochtertje van Paulus
Dochtertje van Pieter
Dochtertje van Steffen
Dochtertje van wijlen
Dochtertje van Willem
Dochtertji
Docther van
Dodgeboren kind van
dominee
Doobgeboren kind van
Doobgeboren kind van?
Doobgeboren? kind van
Dood kind van
Dood ter wereld
Doodgbeoren kind van
Doodgeb kind van
Doodgeb.? kind van
Doodgeb? kind
Doodgeb? kind van
Doodgeb?kind van
Doodgeboren
Doodgeboren kind
doodgeboren kind van
Doodgeboren Kind Van
Doodgeboren Kind van
Doodgeboren kind van
Doodgeboren kind van?
Doodgeboren kinderen van
Doodgeboren king van
Doodgeboren? Kind
Doodgeboren? kind
Doodgeboren? kind van
Doodgeboren? Kind van
Doodgeborenkind van
Doodgebroen kind van
Doodgebron kind van
Doodgenoren kind van
Doogeboren kind van
Dorete, dochter van
Dorothe, dochter van
Dorothea, dochter van
Drie kinderen
Drie kinderen van
Dueijf zijn dochter
Duijff, zijn vrouw
E
Echie dochter van
Echien, dochter van
echtgenoot
Echtgenote
Echtgenote van
echtgenote van voogd
Echtgenoten
Eduwart, zoon van
Een Aalmoezenierskind
Een aalmoezenierskind
Een aalmoezenierskind van
Een aalmoezeniersweeskind
Een dochter
Een dochter van
Een dochtertje
Een dochtertjen
Een doodgeboren kind
Een eerstgeboren kind
Een jongeman van
Een jongetje
een kind
Een Kind
Een kind
Een kind ?
Een kind doodgeboren?
Een kind van
Een kind van?
Een kind?
Een kindje
Een kindje van
Een kint
Een kraamkind
Een kraamkind van
Een onecht kind
Een van
Een vondeling
Een vrouw
Een weeskind
Een zoon
Een zoon van
Een zoontje
Eerst kind van
Eerst weduwe van
eerste mans moeder
Eerstgeb. kind van
Eerstgeboren kind
Eerstgeboren kind Van
Eerstgeboren kind van
Eerstgeboren Kind van
eerstgeboren kind van
Eerstgeboren Kind Van
Eerstgeboren kinderen
